REGN,PROV,URB,HHCN,REL,SEX,AGE,TMSLEFT,MOLEFT,YRLEFT,MSTAT,HGRADE,USOCC,REASON,CTRY,STAY,WORK,OCUP,NOMONTH,RET,MORET,YRRET,MOEXP,YREXP,CASHREM,CASHAMT,MODE,CASHHOME,INKIND,KINDAMT,SWGT
1,33,2,1033,2,1,58,4,1,95,2,4,531,1,96,8,1,531,32,1,8,95,,,2,,,,2,,719.0329
1,33,2,1037,3,1,26,2,2,93,2,4,999,1,15,24,1,999,42,2,,,4,1997,1,8500,4,,1,1000,719.0329
1,33,2,1042,3,1,25,1,6,96,1,6,Z30,8,52,24,1,641,4,2,,,10,1996,1,7600,1,,2,,719.0329
1,33,2,1047,3,2,27,2,8,93,1,5,386,1,94,24,1,386,24,1,9,96,,,1,36000,4,10000,1,24600,719.0339
1,33,2,1053,1,1,29,4,9,96,2,4,619,1,39,10,1,999,27,2,,,8,1997,2,,,30000,1,5400,719.0339
1,33,2,1054,3,2,31,2,7,94,1,4,999,1,39,24,1,541,40,2,,,6,1997,1,23500,1,,2,,719.0339
1,55,2,1589,2,1,45,2,5,96,2,5,611,1,35,10,1,532,12,1,9,96,,,1,18000,1,10000,1,300,1009.5806
1,55,2,1591,2,1,51,3,10,94,2,4,611,1,8,24,1,552,58,2,,,3,1997,1,23400,5,,2,,1009.5806
1,55,1,1061,3,2,23,1,8,94,1,6,451,1,46,24,1,541,26,2,,,7,1997,1,18000,3,,2,,357.7534
1,55,1,1061,3,2,25,3,5,95,1,5,985,1,52,10,1,982,30,1,7,96,,,2,,,,1,3500,357.7534
1,55,2,1597,3,1,38,1,8,95,2,5,611,1,999,24,1,981,13,2,,,8,1997,1,25000,1,,1,16500,1009.5814
1,55,2,1600,4,1,46,2,1,92,2,6,854,1,81,24,1,845,34,1,8,95,,,2,,,,2,,1009.5814
1,55,1,1463,3,2,26,1,9,96,2,6,Z20,6,96,88,2,,,2,,,88,8888,2,,,,2,,327.9411
1,55,1,1207,3,1,22,1,6,95,1,4,621,4,81,24,2,,,2,,,6,1997,1,23000,4,,2,,327.941
1,55,1,1467,4,1,31,3,10,95,2,5,621,1,81,12,1,216,48,2,,,88,8888,1,23500,1,,2,,327.9401
1,55,1,1469,4,1,35,3,3,94,2,6,621,3,81,24,1,819,50,2,,,2,1997,1,30000,1,,1,3800,327.9401
1,55,1,1473,2,2,43,3,5,96,2,4,621,1,82,12,1,974,54,2,,,88,8888,1,11000,4,,2,,327.9401
1,55,1,1488,2,1,35,3,11,95,2,4,954,1,81,15,1,954,36,2,,,10,1997,1,18000,4,,2,,327.9404
1,55,1,1094,1,1,41,2,8,95,2,6,531,1,81,24,1,451,37,2,,,8,1997,1,33000,1,,2,,327.9407
1,55,1,1110,3,2,38,2,4,93,4,6,74,1,81,24,1,74,44,2,,,12,1996,1,15000,4,,1,4000,327.9404
1,55,1,1116,3,1,27,1,4,96,1,4,Z90,1,35,24,1,542,24,2,,,4,1998,1,8000,1,,2,,327.9404
1,55,1,1119,1,1,45,4,8,95,2,6,22,1,93,12,1,22,59,1,9,96,,,1,64800,1,5400,2,,327.9412
1,55,2,1614,4,2,40,1,5,93,3,2,541,1,18,88,1,541,58,2,,,88,8888,1,28000,4,,2,,1009.5805
1,55,2,1650,2,1,34,2,4,95,2,4,Z90,1,39,24,1,541,17,2,,,3,1997,1,4000,3,,1,1000,1009.5848
1,55,2,1651,2,1,44,3,2,95,2,5,441,8,81,88,1,849,60,2,,,12,1996,1,49000,1,,2,,1009.5848
1,55,2,1652,1,2,32,2,3,94,1,6,385,1,50,24,1,799,23,2,,,12,1996,1,64200,1,,2,,1009.5848
1,55,1,1071,3,2,31,1,8,95,1,6,Z20,1,18,24,1,541,15,2,,,9,1997,1,13500,4,,2,,327.9404
1,55,1,1221,1,1,45,12,7,96,2,6,192,7,47,6,1,192,60,2,,,12,1996,1,43500,1,,2,,327.9403
1,55,1,1229,3,2,29,2,7,96,1,6,66,1,81,12,1,66,36,2,,,7,1997,2,,,,2,,327.9411
1,55,1,1307,2,2,36,3,7,96,2,4,541,1,39,24,1,541,47,2,,,6,1998,1,6000,1,,2,,327.9403
1,55,1,1310,3,1,25,2,1,96,1,4,981,1,35,12,1,981,32,2,,,2,1997,1,21500,1,,2,,327.9403
1,55,1,1311,3,1,26,1,2,96,1,2,982,1,35,12,1,982,10,2,,,1,1997,1,24000,1,,2,,327.9403
1,55,1,1317,3,2,24,2,5,94,1,4,541,1,82,24,1,541,24,2,,,4,1997,1,6000,1,,2,,327.9403
1,55,1,1319,3,1,26,1,10,95,2,4,981,1,35,12,1,981,12,1,9,96,,,1,24500,1,25000,1,11000,327.9403
1,55,1,1319,3,1,24,1,9,96,1,6,66,1,15,24,1,66,1,2,,,10,1998,2,,,,2,,327.9403
1,55,1,1319,4,2,24,1,11,94,2,6,859,1,89,24,1,859,24,2,,,11,1996,1,24000,1,,2,,327.9403
1,55,1,1336,4,1,24,1,2,96,2,5,531,1,50,24,1,859,7,2,,,1,1997,1,8000,1,,2,,327.9404
1,55,1,1346,2,2,35,2,3,95,2,1,Z20,1,10,24,1,541,36,2,,,4,1997,1,12500,4,,2,,327.9404
1,55,1,1361,2,1,45,3,7,96,2,4,939,1,81,24,1,939,51,2,,,7,1998,1,10000,1,,1,200,327.9404
