RREG,HHNUM,RRPL,RPSU,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_USOCC,RQ10_REASON,RQ11_CTRY,RQ12_STAY,RQ13_INDWORK,RQ14_OCCUP1,RQ15_NOMONTH,RQ16_RET,RQ17_DTRET,RQ18_DTEXP,RQ19_CASHREM,RQ20_CASHAMT,RQ21_MODE,RQ22_REMSPENT,RQ23_RET6MOS,RQ24_CASHHOME,RQ25_INKIND,RQ26_KINDAMT,RSWGT,RP6M_IND
01,0054,003,00207,09,06,2,23,02,042009,1,68,021,1,400,88,1,913,58,2,      ,888888,1,0027500,1,1100                ,1,0068000,1,0004000,000500.3274,1
01,0055,003,00207,07,03,2,30,01,052008,1,04,913,1,235,88,1,913,16,2,      ,888888,1,0010000,1,1100                ,2,       ,2,       ,000559.6408,1
01,0056,003,00200,10,05,1,34,01,042009,2,04,832,1,211,24,1,832,05,2,      ,042011,2,       , ,                    ,2,       ,2,       ,000506.4243,1
01,0056,003,00200,11,03,2,31,02,012009,2,63,021,1,500,88,1,513,33,2,      ,888888,1,0035000,1,1100                ,2,       ,2,       ,000525.4570,1
01,0056,003,00200,12,05,1,29,01,112008,2,65,131,1,234,12,1,215,10,2,      ,112009,1,0010000,1,1100                ,2,       ,2,       ,000506.4243,1
01,0057,003,00214,07,03,2,25,02,072007,2,05,021,1,222,36,1,913,60,2,      ,072010,1,0095000,1,1060                ,2,       ,2,       ,000549.6463,1
01,0058,003,00214,01,01,1,31,03,042008,2,05,712,1,214,12,1,643,48,1,042009,      ,2,       , ,                    ,1,0040000,1,0010000,000529.7374,1
01,0059,003,00214,81,02,1,35,01,102005,2,65,023,2,500,88,1,223,47,2,      ,888888,1,0142000,5,1095    3005        ,2,       ,2,       ,000425.3874, 
01,0060,003,00214,81,03,2,30,01,022005,2,64,021,2,500,88,1,513,55,2,      ,888888,1,0075000,5,1070                ,2,       ,1,0120000,000425.3874, 
01,0061,002,00212,03,03,2,31,02,052007,1,68,021,1,213,36,1,913,60,2,      ,052010,1,0060000,1,1100                ,2,       ,2,       ,000554.2652,1
01,0062,002,00212,05,03,2,21,01,032009,1,63,023,8,222,06,1,522,06,1,092009,      ,1,0015500,5,1050                ,1,0050000,1,0010000,000495.5216,1
01,0063,002,00212,02,03,2,24,01,092009,1,65,223,2,500,88,1,513,00,2,      ,888888,2,       , ,                    ,2,       ,2,       ,000495.5216, 
01,0063,002,00212,04,03,1,22,01,062008,2,05,931,2,400,88,1,913,15,2,      ,888888,1,0060000,3,1100                ,2,       ,2,       ,000455.0909, 
01,0064,002,00212,03,03,2,29,01,022009,1,61,911,1,234,24,1,913,07,2,      ,022011,1,0033000,1,1100                ,2,       ,2,       ,000554.2652,1
01,0065,003,00219,05,05,2,40,01,042009,2,04,921,1,211,23,1,913,05,2,      ,032011,1,0023000,1,1050                ,2,       ,2,       ,000449.3564,1
01,0066,001,00222,09,03,2,39,02,112007,2,04,023,1,400,25,1,913,52,2,      ,122009,1,0060000,1,102520253030        ,2,       ,2,       ,000425.3574,1
01,0067,001,00222,05,02,2,39,01,082007,2,03,913,1,214,33,1,913,25,2,      ,052010,1,0060000,1,103020203010        ,2,       ,2,       ,000425.3574,1
01,0068,001,00222,06,08,2,52,01,022009,3,04,911,1,400,24,1,913,07,2,      ,022011,1,0015000,1,10802020            ,2,       ,2,       ,000388.9579,1
01,0068,001,00222,07,08,2,27,01,072009,1,05,522,1,400,24,1,913,02,2,      ,072011,1,0070000,1,103020403015        ,1,0030000,1,0035000,000524.6633,1
01,0069,001,00222,08,03,2,28,02,082007,1,65,223,1,400,28,1,913,47,2,      ,122009,1,0034000,1,102020403040        ,2,       ,1,0030000,000524.6633,1
