REGN,FILLER,URB,HHCN,REL,SEX,AGE,TLEFT,MDTLEFT,YDTLEFT,MSTAT,HGRADE,USOCC,REASON,CTRY,STAY,INDWORK,OCCUP,NOMONTH,RET,MDTRET,YDTRET,MDTEXP,YDTEXP,CASHREM,CASHAMT,MODE,RETAPSEP,CASHHOME,KINDREM,KINDAMT,SWGT,P6M_IND
1,29,1,278,6,2,59,1,3,2001,3,7,412,6,96,88,1,513,19,2,,,88,8888,1,15000,1,2,,2,,190.876,
1,29,1,280,6,1,59,1,9,2002,2,1,611,6,96,88,2,,,2,,,88,8888,2,,,2,,2,,190.876,
1,29,1,280,6,2,54,1,5,2001,2,2,921,6,96,88,1,513,17,2,,,88,8888,1,50000,1,2,,2,,190.876,
1,29,2,460,1,1,38,2,3,1998,2,6,611,3,47,48,1,913,47,1,3,2002,,,2,,,2,,2,,396.2965,2
1,29,2,461,6,1,53,3,5,2000,2,2,611,6,96,36,1,512,59,2,,,5,2003,1,60000,1,2,,1,5000,396.2965,
1,29,2,461,2,2,54,3,5,2000,2,2,921,6,96,24,1,513,56,1,5,2002,,,2,,,1,0,2,,396.2965,
1,29,2,468,3,2,30,1,10,2001,1,4,921,1,89,3,1,913,3,1,1,2002,,,2,,,2,,2,,396.2965,2
1,29,2,468,3,2,25,2,1,2002,1,6,921,1,82,24,1,913,38,2,,,12,2003,1,10000,1,2,,2,,396.2965,1
1,29,1,381,3,2,29,1,7,2002,1,6,21,1,39,88,1,913,2,2,,,88,8888,2,,,2,,2,,199.2585,1
1,29,1,381,3,2,28,2,4,2002,1,6,21,1,39,88,1,913,29,2,,,88,8888,1,5000,1,1,10000,2,,199.2585,1
1,29,2,618,2,1,32,1,2,2001,2,4,21,1,39,25,1,913,20,2,,,3,2003,1,8000,1,2,,2,,439.792,1
1,29,1,315,3,2,43,2,8,2001,2,4,21,6,18,88,1,144,48,2,,,88,8888,1,60000,1,2,,2,,208.2283,
