REGN,PROV,URB,HHCN,REL,SEX,AGE,TLEFT,MDTLEFT,YDTLEFT,MSTAT,HGRADE,USOCC,REASON,CTRY,STAY,INDWORK,OCCUP,NOMONTH,RET,MDTRET,YDTRET,MDTEXP,YDTEXP,CASHREM,CASHAMT,MODE,RETAPSEP,CASHHOME,KINDREM,KINDAMT,SWGT
1,33,2,1048,2,2,42,2,5,2000,2,6,21,1,35,24,1,913,58,2,,,5,2002,1,60000,1,2,,2,,361.7202
1,33,2,1049,1,1,51,1,7,2000,2,4,712,1,81,24,1,712,14,2,,,7,2002,1,90000,1,2,,2,,361.7202
1,55,1,1067,3,1,28,1,8,1999,1,7,231,1,89,23,1,213,24,1,7,2001,,,2,,,1,120000,1,50000,339.7459
1,55,1,1081,2,2,30,2,2,2001,2,4,21,1,46,60,1,913,42,2,,,2,2006,1,25000,4,2,,2,,324.7962
1,55,1,1095,1,1,44,5,3,2001,2,7,23,1,81,13,1,215,44,2,,,4,2003,1,160000,1,2,,2,,311.4338
1,55,1,1103,6,1,39,2,8,1999,4,4,712,1,81,22,1,712,35,1,6,2001,,,2,,,1,31000,1,2500,311.4338
1,55,1,1111,3,1,29,5,5,2001,1,4,23,1,82,10,1,511,50,2,,,3,2002,1,10000,1,2,,2,,311.4336
1,55,1,1119,3,1,29,2,8,2001,1,6,932,1,94,23,1,413,32,2,,,7,2003,2,,,2,,2,,311.4344
1,55,1,1119,3,2,36,2,8,2000,1,7,412,1,94,31,1,422,56,2,,,3,2003,1,52000,1,2,,2,,311.4344
1,55,1,1119,3,2,24,1,7,2000,1,6,743,1,89,13,1,827,13,1,8,2001,,,1,20000,4,1,60000,2,,311.4344
1,55,1,1123,1,1,35,1,6,2000,2,4,712,1,94,24,1,712,15,2,,,6,2002,1,39000,1,2,,2,,311.4344
1,55,1,1149,3,1,29,2,7,2001,1,6,931,1,81,23,1,512,27,2,,,6,2003,1,13000,4,2,,1,10000,311.4335
1,55,1,1162,5,1,26,2,3,2001,1,7,23,1,83,10,1,512,17,2,,,1,2002,1,174000,1,2,,2,,339.7458
