REGN,PROV,URB,HHCN,REL,SEX,AGE,MOLEFT,YRLEFT,MSTAT,HGRADE,USOCC,REASON,CTRY,OCUP,SWORK,RET,MORET,YRRET,MOEXP,YREXP,CASHREM,CASHAMT,MODE,CASHHOME,INKIND,KINDAMT,SWGT
1,33,1,764,3,2,38,12,95,3,3,490,1,39,541,1188,2,,,12,1997,1,13000,1,,1,2500,188.5765
1,33,1,801,3,2,28,99,94,1,4,Z20,1,52,171,687,2,,,99,1997,1,24000,1,,2,,171.4331
1,33,1,645,6,1,31,7,96,2,5,490,1,89,756,492,2,,,7,1998,1,7000,1,,2,,171.4331
1,33,1,648,3,2,22,11,94,1,5,Z20,1,50,756,1194,2,,,88,8888,1,10000,1,,2,,171.4331
1,33,2,949,2,2,33,8,94,2,4,611,1,82,541,894,2,,,88,8888,1,19000,5,,1,1300,440.8229
1,33,2,955,1,1,62,1,97,2,4,954,1,80,954,193,2,,,88,8888,1,28000,4,10400,1,3000,440.8229
1,33,2,955,3,1,21,4,96,1,4,Z30,1,35,531,496,2,,,88,8888,1,30000,2,,2,,440.8229
1,33,2,1005,2,1,47,11,96,2,4,872,1,81,872,1196,2,,,10,1998,1,25000,4,,2,,440.8228
1,33,1,807,4,2,29,8,94,2,4,Z20,1,39,541,9987,2,,,12,1997,1,4000,4,,2,,171.4332
1,33,1,811,6,1,46,10,96,3,5,Z90,1,52,531,9999,2,,,5,1997,1,40000,1,,2,,171.4332
1,33,2,1013,3,2,20,11,96,1,4,621,1,82,541,1196,2,,,11,1998,1,9000,4,,2,,440.8224
1,33,2,1027,4,1,33,10,93,2,4,532,1,8,532,1093,2,,,88,8888,1,9000,1,,1,6500,480.8976
1,33,2,1027,3,2,32,12,94,2,4,389,1,54,541,1294,2,,,12,1997,1,19500,1,,2,,480.8976
1,33,2,892,3,2,21,11,96,1,4,Z20,1,82,541,1196,2,,,12,1998,1,2300,4,,2,,440.823
1,33,2,894,2,2,41,12,96,2,4,452,1,80,541,691,2,,,6,1998,1,5240,4,,2,,440.823
1,33,2,899,3,2,23,4,95,1,2,452,1,82,541,490,2,,,88,8888,2,,,,1,5000,440.823
1,33,2,899,3,2,17,12,96,1,4,452,1,51,541,1296,2,,,12,1998,2,,,,2,,440.823
1,33,1,649,2,1,35,1,97,2,6,23,1,81,23,1289,2,,,12,1999,2,,,,1,32750,171.4332
1,33,1,654,3,1,31,9,94,1,4,985,1,82,641,994,2,,,9,1997,1,23000,1,,2,,171.4332
1,33,1,655,6,2,52,8,95,3,4,Z20,1,18,541,9984,2,,,12,1998,1,55000,4,,2,,171.4332
1,33,1,659,2,2,38,11,89,2,4,Z20,1,32,541,1189,2,,,99,2000,1,12000,1,,1,83000,171.4332
1,33,1,664,2,2,39,10,96,2,4,Z20,1,39,541,1096,2,,,5,1997,1,12000,1,,2,,171.4332
