REG,HHNUM,RPL,PSU,Q1_LNO,Q2_REL,Q3_SEX,Q4_AGE,Q5_TMSLEFT,Q6_DTLEFT,Q7_MSTAT,Q8_HGRADE,Q9_USOCC,Q10_REASON,Q11_CTRY,Q12_STAY,Q13_INDWORK,Q14_OCCUP1,Q15_NOMONTH,Q16_RET,Q17_DTRET,Q18_DTEXP,Q19_CASHREM,Q20_CASHAMT,Q21_MODE,Q22_RET6MOS,Q23_CASHHOME,Q24_INKIND,Q25_KINDAMT,SWGT,P6M_IND
01,00103,2,00728,01,01,1,43,02,112004,2,04,6111,1,234,24,1,7123,58,2,      ,112006,1,038000,4,2,      ,2,      ,000424.2741,1
01,00104,2,00728,03,05,1,36,03,122005,2,05,8321,1,222,11,1,8340,30,2,      ,112006,1,050000,1,2,      ,2,      ,000424.2741,1
01,00105,2,00720,06,03,2,24,02,102005,1,04,0920,1,211,24,1,9131,36,2,      ,102007,1,030000,4,2,      ,2,      ,000447.2456,1
01,00106,2,00720,02,03,2,26,01,052004,1,04,9131,1,222,88,1,9131,28,2,      ,888888,1,016000,4,2,      ,2,      ,000480.0986,1
01,00107,4,00768,08,03,2,23,01,102005,1,04,5220,1,234,24,1,9131,11,2,      ,102007,1,048000,4,2,      ,2,      ,000476.6393,1
01,00108,4,00768,81,05,1,45,01,052002,2,61,0920,6,500,88,1,5123,52,2,      ,888888,1,030000,1,2,      ,2,      ,000428.5272, 
01,00109,4,00768,82,03,2,31,01,092005,1,05,5220,6,400,18,1,5123,12,2,      ,032007,1,068000,1,2,      ,2,      ,000428.5272, 
01,00110,1,00774,01,01,1,47,02,012006,2,65,1313,1,233,24,1,1430,36,2,      ,012008,1,060000,1,2,      ,2,      ,000357.5611,1
01,00110,1,00774,06,05,1,25,02,122005,2,65,5220,1,212,12,1,7123,18,2,      ,122006,1,043000,1,2,      ,2,      ,000450.3265,1
01,00111,1,00780,01,01,1,42,02,022005,2,61,2152,1,233,34,1,7241,43,2,      ,122007,1,060000,4,2,      ,2,      ,000425.6166,1
01,00112,2,00781,05,05,2,30,02,022006,2,05,0210,1,211,11,1,9131,14,2,      ,012007,1,032000,5,2,      ,2,      ,000514.4430,1
01,00112,2,00781,06,05,1,27,01,092005,2,67,3473,1,212,04,1,3473,04,1,012006,      ,2,      , ,2,      ,2,      ,000501.1488,2
01,00113,2,00781,01,01,1,30,01,072006,2,65,0920,1,235,23,1,5133,02,2,      ,062008,2,      , ,2,      ,2,      ,000501.1488,1
01,00114,1,00790,01,01,1,34,01,062002,2,65,0920,1,233,54,1,1233,51,2,      ,122006,1,210000,1,2,      ,2,      ,000480.5358,1
01,00115,1,00790,01,01,1,36,03,012006,2,04,0920,1,212,09,1,8340,27,2,      ,102006,1,060000,1,2,      ,2,      ,000408.1103,1
01,00116,3,00807,01,01,1,33,01,042005,2,65,2231,1,213,16,1,5133,16,1,082006,      ,1,080000,1,1,000000,2,      ,000451.7016,1
01,00117,3,00807,01,01,1,34,02,012006,2,04,0920,1,400,17,1,8340,24,2,      ,062007,1,090000,1,2,      ,2,      ,000451.7016,1
01,00118,3,00811,81,05,1,39,01,082005,2,62,2412,6,500,25,1,3413,13,2,      ,092007,1,300000,1,2,      ,1,015000,000402.3174, 
01,00119,3,00827,02,02,1,35,02,032004,2,65,2153,1,233,88,1,2153,58,2,      ,888888,1,090000,1,2,      ,2,      ,000397.2023,1
01,00120,3,00827,02,03,1,30,02,012005,1,65,2231,1,400,88,1,2231,58,2,      ,888888,1,008000,1,2,      ,2,      ,000467.6920,1
01,00120,3,00827,03,03,2,28,01,042005,1,05,7243,1,213,23,1,7243,17,2,      ,032007,2,      , ,2,      ,2,      ,000480.0986,1
01,00121,2,00828,03,03,2,30,01,062006,1,05,9131,1,222,24,1,9131,03,2,      ,062008,2,      , ,2,      ,2,      ,000495.2921,1
01,00122,4,00833,01,01,1,49,02,092005,2,02,6111,1,100,09,1,1430,13,1,062006,      ,1,060000,1,1,085000,2,      ,000370.2224,1
01,00122,4,00833,03,03,2,25,01,042004,1,63,4211,1,500,88,1,9131,29,2,      ,888888,1,030000,5,2,      ,2,      ,000478.6417,1
01,00123,4,00833,02,03,2,41,02,032003,2,04,7435,1,233,19,1,5122,37,1,102004,      ,2,      , ,2,      ,2,      ,000410.5724,2
01,00123,4,00833,04,05,1,40,03,042006,2,68,0119,1,233,88,1,7422,60,2,      ,888888,1,060000,4,2,      ,2,      ,000395.9969,1
01,00124,4,00833,01,01,1,39,03,062006,2,04,7212,1,232,12,1,7212,32,2,      ,062007,1,019000,1,1,080000,1,013000,000395.9969,1
01,00125,2,00851,03,03,2,31,01,052005,1,03,0210,1,222,24,1,9131,16,2,      ,052007,1,030000,4,2,      ,2,      ,000478.0987,1
01,00126,2,00851,07,03,1,45,01,092006,2,63,6111,1,223,36,1,4113,00,2,      ,092009,2,      , ,2,      ,2,      ,000369.8024,1
01,00126,2,00851,13,03,1,34,01,092004,2,04,6111,1,223,25,1,7332,24,2,      ,102006,1,030000,1,2,      ,2,      ,000465.7437,1
01,00126,2,00851,14,05,2,32,01,102004,2,04,6111,1,223,24,1,7332,23,2,      ,102006,2,      , ,2,      ,2,      ,000478.0987,1
01,00127,1,00844,01,01,1,46,02,102004,2,04,7123,1,100,24,1,7123,48,2,      ,102006,1,040000,4,2,      ,2,      ,000379.4359,1
01,00128,1,00861,03,03,2,31,02,012006,1,05,0920,1,233,24,1,7123,54,2,      ,012008,1,030000,4,2,      ,2,      ,000492.4723,1
