PREG,PHHNUM,PRPL,PPSU,PQ1_LNO,PQ2_REL,PQ3_SEX,PQ4_AGE,PQ5_TMSLEFT,PQ6_DTLEFT,PQ7_MSTAT,PQ8_HGRADE,PQ9_USOCC,PQ10_REASON,PQ11_CTRY,PQ12_STAY,PQ13_INDWORK,PQ14_OCCUP1,PQ15_NOMONTH,PQ16_RET,PQ17_DTRET,PQ18_DTEXP,PQ19_CASHREM,PQ20_CASHAMT,PQ21_MODE,PQ22_RET6MOS,PQ23_CASHHOME,PQ24_INKIND,PQ25_KINDAMT,PSWGT,PP6M_IND,PSVYYR
01,000120,4,33018,02,02,2,49,03,092002,2,05,92,1,233,27,1,91,60,2,      ,122004,1,036000,1,2,      ,1,008000,000364.9212,1,2004
01,000121,2,33019,05,03,2,38,01,092000,2,05,72,1,233,09,1,91,09,1,072001,      ,2,      , ,2,      ,2,      ,000355.5655,2,2004
01,000122,2,33019,03,03,1,41,02,052002,2,05,31,1,233,09,1,71,36,1,022003,      ,2,      , ,2,      ,2,      ,000350.0228,2,2004
01,000122,2,33019,04,05,2,35,01,112003,2,05,52,1,213,24,1,91,11,2,      ,112005,1,060000,1,2,      ,2,      ,000355.5655,1,2004
01,000123,4,33020,88,03,1,35,01,082001,2,05,09,6,500,88,1,42,37,2,      ,888888,1,033600,1,2,      ,1,042000,000349.7010, ,2004
01,000124,4,33020,07,03,2,24,02,072000,2,04,52,1,222,88,1,91,58,2,      ,888888,1,020000,4,2,      ,1,080000,000376.6839,1,2004
01,000125,4,33020,01,01,2,61,01,092004,3,03,02,8,400,04,2,  ,  ,2,      ,012005,2,      , ,2,      ,2,      ,000360.9573,2,2004
01,000126,4,33020,05,03,2,20,03,022004,1,04,51,1,212,06,1,34,18,1,082004,      ,1,030000,1,1,030000,1,065000,000376.6839,1,2004
01,000127,3,33021,02,02,2,40,01,072004,2,61,24,4,214,06,2,  ,  ,2,      ,012005,2,      , ,2,      ,2,      ,000379.3654,2,2004
01,000128,4,33022,02,02,2,41,03,012003,2,02,92,1,222,24,1,91,60,2,      ,122004,1,030000,1,2,      ,2,      ,000353.4105,1,2004
01,000129,4,33022,04,03,2,29,02,012002,1,61,02,1,211,24,1,91,43,2,      ,122004,1,030000,1,2,      ,2,      ,000402.4528,1,2004
01,000130,4,33022,03,03,2,33,01,121999,1,05,02,1,233,29,1,91,29,1,052002,      ,2,      , ,2,      ,2,      ,000402.4528,2,2004
01,000130,4,33022,06,03,2,25,01,102002,1,05,02,1,222,24,1,91,23,2,      ,102004,1,012800,1,2,      ,2,      ,000402.4528,1,2004
01,000131,2,33023,02,02,2,46,03,042003,2,02,02,1,222,14,1,91,54,2,      ,032005,1,017000,1,2,      ,1,005500,000364.9212,1,2004
