REG,HHID,Q1_LNO,Q2_REL,Q3_SEX,Q4_AGE,Q5_TMSLEFT,Q6M_DTLEFT,Q6Y_DTLEFT,Q7_MSTAT,Q8_HGRADE,Q9USOCC,Q10_REASON,Q11_BASE,Q12_CTRY,Q13_STAY,Q14_INDWORK,Q15OCCUP,Q16_NOMONTH,Q17_RET,Q18M_DTRET,Q18Y_DTRET,Q19_REASON,Q20M_DTEXP,Q20Y_DTEXP,Q21_CASHREM,Q22_CASHAMT,Q23_MODE,Q241C_CONSUM,Q241P_CONSUM,Q242C_INVEST,Q242P_INVEST,Q243C_SAVINGS,Q243P_SAVINGS,Q244C_OTHERS,Q244P_OTHERS,Q25_RET6MOS,Q26_CASHHOME,Q27_INKIND,Q28_KINDAMT,SWGT,P6M_IND
01,122202002222101290001290901800000080111,04,02,2,43,03,08,2012,2,63,021,1,1,039,24,1,913,60,2,,,,08,2014,1,0020000,1,1,100,,,,,,,1,0050000,1,0014000,000423.8805,1
01,122202002222101290001290901800000130178,04,02,2,60,05,04,2012,2,04,021,1,1,039,24,1,913,60,2,,,,04,2014,1,0015000,1,1,080,,,3,020,,,1,0075000,1,0013000,000343.0257,1
01,122202002222101290001290901800000130178,05,03,2,31,02,01,2011,2,64,021,1,1,039,24,1,913,32,2,,,,01,2013,1,0015000,1,1,100,,,,,,,2,,2,,000513.6659,1
01,322123002272001290001291201000000050031,04,02,2,26,01,07,2008,2,04,921,1,1,057,67,1,913,50,2,,,,02,2014,1,0036000,1,1,060,2,010,3,030,,,2,,2,,000512.5003,1
01,122103002502101290001291500300000080072,03,02,2,29,01,09,2012,2,06,921,1,1,094,36,1,913,01,2,,,,09,2015,2,,,,,,,,,,,2,,2,,000512.5003,1
01,122103002502101290001291500300000120109,07,02,2,43,02,03,2010,2,06,921,1,1,039,36,1,913,60,2,,,,03,2013,1,0010000,1,1,100,,,,,,,2,,2,,000422.9186,1
01,121310002542101290001291600400000050072,09,05,1,30,03,02,2012,2,58,611,1,2,082,10,1,816,30,2,,,,12,2012,1,0030000,2,1,100,,,,,,,2,,2,,000534.8839,1
01,121310002542101290001291600400000100143,04,02,2,41,02,07,2011,2,65,021,1,1,103,48,1,513,24,2,,,,07,2015,1,0048000,5,1,090,,,3,010,,,2,,2,,000424.5218,1
01,422132002682001290001292000300000030027,08,03,2,33,01,01,2010,1,63,921,2,1,018,48,1,913,32,2,,,,01,2014,1,0071000,1,1,060,2,030,3,010,,,2,,2,,000512.5003,1
01,422132002682001290001292000300000080100,07,05,1,38,03,03,2012,2,06,611,1,1,094,24,1,712,60,2,,,,03,2014,1,0090000,1,1,030,2,040,3,030,,,2,,2,,000444.1396,1
01,121118002782101290001292300300000020022,02,02,2,42,02,04,2012,2,02,021,1,1,035,24,1,913,60,2,,,,04,2014,1,0060000,4,1,100,,,,,,,2,,2,,000446.4140,1
01,421341002892001290001292402900000030039,02,03,2,38,02,06,2012,3,03,911,1,1,094,24,1,913,03,2,,,,06,2014,1,0011000,5,1,070,,,3,030,,,2,,2,,000442.9792,1
01,421341002892001290001292402900000090128,05,02,1,42,01,04,2009,2,04,712,1,1,078,48,1,713,41,2,,,,04,2013,1,0048000,5,1,065,2,025,3,010,,,2,,1,0001570,000465.2068,1
01,222224002922101290001292503000000100149,03,03,2,23,01,01,2010,1,63,144,1,1,089,36,1,932,32,2,,,,01,2013,1,0005000,5,1,100,,,,,,,2,,2,,000468.2974,1
01,222224002922101290001292503000000110165,02,02,2,39,02,06,2010,2,04,023,1,1,039,48,1,913,30,2,,,,06,2014,1,0003000,1,1,100,,,,,,,2,,1,0003500,000423.8805,1
01,222224002922101290001292503000000170264,02,02,2,41,02,09,2011,2,04,911,1,1,035,24,1,913,47,2,,,,09,2013,1,0050000,1,,,2,100,,,,,2,,1,0010000,000423.8805,1
01,222113003062101290001292600300000080070,02,02,2,32,01,03,2012,2,04,921,1,1,082,24,1,913,06,2,,,,03,2014,2,,,,,,,,,,,2,,2,,000512.5003,1
01,221321003142101290001292700900000010007,03,03,2,21,01,12,2011,1,63,023,1,1,078,24,1,422,09,2,,,,12,2013,1,0055000,2,1,050,2,030,3,020,,,2,,2,,000493.6904,1
01,221321003142101290001292700900000010007,04,03,1,27,08,05,2012,2,68,023,1,2,082,06,1,834,33,1,07,2012,3,,,1,0030000,1,1,090,,,3,010,,,1,0030000,2,,000563.0357,1
