REGN,PROV,URB,HHCN,REL,SEX,AGE,TMSLEFT,DTLEFTM,DTLEFTY,MSTAT,HGRADE,USOCC,REASON,CTRY,STAY,INDWORK,OCCUP,NOMONTH,RET,DTRETM,DTRETY,DTEXPM,DTEXPY,CASHREM,CASHAMT,MODE,RET6MOS,CASHHOME,INKIND,KINDAMT,SWGT
01,28,1,0008,2,1,54,01,02,1999,2,2,611,1,081,24,1,959,19,2,  ,    ,02,2001,1,022000,1,2,      ,2,      ,0307.1167
01,28,1,0016,2,1,28,01,04,2000,2,4,985,1,089,36,1,729,05,2,  ,    ,03,2003,1,050940,1,2,      ,2,      ,0335.0366
01,28,1,0019,4,2,25,02,07,2000,2,4,Z20,1,039,24,1,541,27,2,  ,    ,07,2002,1,015000,1,1,030000,1,006000,0335.0366
01,28,1,0020,2,1,39,04,07,1999,2,7,Z20,1,052,12,1,531,48,1,08,2000,  ,    ,1,080000,1,1,150000,2,      ,0335.0366
01,28,1,0027,3,2,37,02,06,1999,1,7,Z90,1,039,24,1,541,39,2,  ,    ,06,2001,1,018000,1,2,      ,2,      ,0307.1167
01,28,1,0038,3,2,39,02,02,1997,4,6,Z20,1,089,42,1,541,42,1,09,2000,  ,    ,1,025000,1,1,030000,2,      ,0307.1167
01,28,1,0044,6,1,21,01,05,2000,1,7,985,1,089,36,1,949,05,2,  ,    ,05,2003,1,013000,4,2,      ,2,      ,0307.1167
01,28,1,0046,4,1,28,01,06,1998,2,4,611,1,081,24,1,621,27,1,09,2000,  ,    ,2,      , ,1,030000,2,      ,0307.1167
01,28,1,0057,2,1,31,04,09,2000,2,7,617,1,033,10,1,981,48,2,  ,    ,07,2001,1,022000,3,1,050000,2,      ,0296.0606
01,28,1,0058,4,1,29,01,03,2000,2,7,031,1,089,24,1,031,07,2,  ,    ,03,2002,1,050000,1,2,      ,2,      ,0296.0606
01,28,1,0066,3,2,45,02,03,2000,3,4,Z20,1,039,24,1,541,24,2,  ,    ,03,2002,1,042000,1,2,      ,2,      ,0307.1169
01,28,1,0066,5,2,25,02,08,2000,1,7,Z20,1,018,48,1,541,24,2,  ,    ,04,2005,2,      , ,1,135000,1,024000,0307.1169
01,28,1,0068,1,1,27,01,10,1999,2,7,Z90,1,089,36,1,979,11,2,  ,    ,10,2002,1,030000,1,2,      ,2,      ,0307.1169
01,28,1,0072,3,2,37,03,07,2000,2,6,Z90,1,039,24,1,541,50,2,  ,    ,08,2002,1,030000,1,1,025000,2,      ,0307.1169
01,28,2,0104,6,1,68,02,05,1999,2,1,611,6,096,18,1,614,41,2,  ,    ,11,2000,1,035200,1,2,      ,1,025500,0516.9622
01,28,2,0104,6,2,67,02,05,1999,2,1,617,6,096,18,1,614,41,2,  ,    ,11,2000,1,035200,2,2,      ,2,      ,0516.9622
01,28,2,0108,4,1,27,02,01,2000,2,4,Z90,6,096,24,1,985,59,2,  ,    ,12,2001,1,060000,1,2,      ,2,      ,0516.9622
01,28,2,0116,3,2,33,01,12,1995,4,6,Z20,1,082,24,1,541,57,2,  ,    ,01,2001,1,021000,1,2,      ,1,001900,0516.9635
01,28,2,0118,3,2,24,01,06,2000,1,5,791,4,096,11,2,   ,  ,2,  ,    ,07,2001,2,      , ,2,      ,2,      ,0516.9635
01,28,2,0120,2,2,36,01,06,1998,2,4,Z20,1,039,30,1,541,26,2,  ,    ,12,2000,1,056500,1,2,      ,2,      ,0516.9635
01,28,2,0124,3,2,39,01,11,1999,2,7,452,1,051,24,1,541,10,2,  ,    ,10,2001,1,010000,4,2,      ,2,      ,0516.9631
01,28,2,0128,7,1,27,02,07,1999,1,7,Z90,1,888,17,1,X20,14,2,  ,    ,12,2000,1,072000,1,2,      ,2,      ,0516.9631
01,28,2,0138,2,1,27,02,04,1999,2,7,023,1,089,20,1,023,21,2,  ,    ,12,2000,1,120000,1,2,      ,2,      ,0516.9634
01,28,2,0138,6,2,63,03,06,2000,3,2,Z20,6,096,88,2,   ,  ,2,  ,    ,88,8888,1,006000,2,2,      ,2,      ,0516.9634
01,28,2,0141,3,1,30,02,06,1999,1,6,621,1,082,24,1,452,15,2,  ,    ,06,2001,1,010000,4,2,      ,2,      ,0516.9634
01,28,2,0143,1,1,34,01,09,1997,2,4,611,1,089,24,1,959,24,1,09,1999,  ,    ,2,      , ,2,      ,2,      ,0516.9634
01,28,2,0146,3,2,40,03,04,2000,1,7,Z90,1,039,24,1,541,60,2,  ,    ,04,2002,1,012000,1,2,      ,2,      ,0584.3939
01,28,2,0146,3,2,37,03,12,1999,1,7,Z90,1,039,12,1,541,60,2,  ,    ,12,2000,1,012000,1,2,      ,2,      ,0584.3939
01,28,2,0153,2,2,43,03,06,1999,2,4,Z90,1,082,24,1,541,60,2,  ,    ,05,2001,2,      , ,2,      ,2,      ,0584.3939
01,28,2,0161,3,2,25,01,03,2000,1,4,Z20,1,082,24,1,541,06,2,  ,    ,03,2003,1,007000,4,2,      ,2,      ,0516.9611
01,28,2,0162,3,2,25,02,02,1999,1,4,570,1,094,88,1,541,43,2,  ,    ,88,8888,1,020000,1,2,      ,2,      ,0516.9611
01,28,2,0165,6,2,61,02,12,1999,1,2,541,8,080,88,1,541,09,2,  ,    ,88,8888,2,      , ,2,      ,2,      ,0516.9611
01,28,2,0171,3,2,28,02,07,2000,1,6,Z20,1,039,05,1,541,24,2,  ,    ,12,2000,1,010000,4,2,      ,2,      ,0516.9646
01,28,2,0186,3,1,23,02,05,1998,1,6,621,1,089,36,1,649,42,2,  ,    ,05,2001,1,022000,4,2,      ,2,      ,0516.9650
01,28,2,0188,3,2,43,03,03,1998,2,7,Z90,1,039,30,1,541,54,1,09,2000,  ,    ,1,018000,1,1,      ,2,      ,0516.9650
01,28,2,0188,3,2,37,02,03,1999,2,7,Z90,1,039,24,1,541,18,2,  ,    ,03,2001,1,025000,1,2,      ,2,      ,0516.9650
01,28,2,0189,3,2,22,01,01,1998,1,3,532,1,082,88,1,541,32,2,  ,    ,88,8888,1,018500,4,2,      ,2,      ,0516.9650
01,28,2,0189,3,1,21,01,09,1999,1,3,Z30,1,042,12,1,649,12,2,  ,    ,09,2001,2,      , ,2,      ,2,      ,0516.9650
01,28,2,0192,3,1,29,02,03,2000,2,4,611,1,039,24,1,541,22,2,  ,    ,03,2002,1,007000,1,2,      ,2,      ,0516.9650
01,28,2,0192,4,1,28,01,05,1999,2,6,311,1,039,24,1,541,16,2,  ,    ,06,2001,2,      , ,2,      ,2,      ,0516.9650
01,28,2,0215,2,2,48,03,03,2000,2,2,Z20,1,039,24,1,541,60,2,  ,    ,02,2002,1,011000,4,2,      ,2,      ,0516.9629
01,28,2,0220,2,2,32,05,07,2000,2,4,541,1,082,88,1,541,55,2,  ,    ,08,2001,1,025000,1,1,020000,1,007000,0523.5079
01,28,2,0222,2,2,36,02,07,1999,2,7,541,1,039,24,1,541,58,2,  ,    ,07,2001,1,035000,1,2,      ,2,      ,0523.5079
01,29,1,0242,2,2,43,05,02,2000,2,7,Z20,1,081,10,1,066,60,2,  ,    ,12,2000,1,048000,4,2,      ,2,      ,0180.2685
01,29,1,0244,2,2,36,03,07,2000,2,4,Z20,1,082,08,1,541,36,2,  ,    ,03,2001,1,025000,1,1,030000,2,      ,0180.2685
01,29,1,0248,4,1,44,03,10,1999,2,5,412,1,081,14,1,846,60,2,  ,    ,12,2000,1,072000,4,2,      ,2,      ,0180.2685
01,29,1,0286,3,2,44,02,07,1997,2,7,135,3,047,29,1,541,53,1,12,1999,  ,    ,2,      , ,2,      ,2,      ,0180.2685
01,29,1,0286,6,2,22,01,08,2000,1,6,Z30,1,039,24,1,541,02,2,  ,    ,12,2002,2,      , ,2,      ,2,      ,0180.2685
01,29,1,0288,2,2,52,02,05,2000,2,2,541,6,096,88,1,541,54,2,  ,    ,88,8888,1,039000,1,1,060000,1,009000,0180.2685
01,29,1,0306,1,1,33,01,01,1998,2,5,954,1,081,24,1,599,24,1,02,2000,  ,    ,2,      , ,2,      ,2,      ,0180.2684
01,29,1,0317,2,2,32,03,01,2000,2,7,Z20,1,039,88,1,541,60,2,  ,    ,88,8888,1,002000,4,2,      ,2,      ,0180.2684
01,29,1,0321,6,2,43,01,12,1999,3,4,Z20,1,083,88,1,541,09,2,  ,    ,88,8888,1,018000,4,2,      ,2,      ,0180.2684
01,29,1,0322,4,2,28,01,01,1999,2,7,Z20,1,087,88,1,541,20,2,  ,    ,88,8888,1,057600,1,2,      ,2,      ,0180.2684
01,29,1,0328,3,1,29,02,12,1999,2,7,031,1,082,12,1,031,24,2,  ,    ,12,2000,1,030000,4,2,      ,2,      ,0192.7687
01,29,1,0329,3,2,26,01,07,1998,1,7,322,1,039,24,1,541,26,2,  ,    ,09,2001,1,020000,1,2,      ,2,      ,0192.7687
01,29,1,0329,3,2,24,02,06,2000,1,7,Z20,1,039,24,1,541,30,2,  ,    ,05,2002,1,017000,1,2,      ,2,      ,0192.7687
01,29,1,0332,3,2,30,01,05,2000,2,7,066,1,046,24,1,541,04,2,  ,    ,05,2002,1,010000,4,2,      ,2,      ,0192.7687
01,29,1,0336,2,1,50,10,08,2000,2,7,Z90,1,056,04,1,846,60,2,  ,    ,12,2000,1,184000,1,1,      ,2,      ,0192.7687
01,29,1,0339,1,1,39,02,07,2000,2,6,985,1,050,03,1,700,09,2,  ,    ,10,2000,1,021000,5,2,      ,2,      ,0180.2683
01,29,1,0351,1,1,93,01,08,2000,2,3,Z40,8,096,02,2,   ,  ,2,  ,    ,10,2000,2,      , ,2,      ,2,      ,0180.2686
01,29,1,0352,3,2,23,01,03,2000,1,7,Z90,1,046,24,1,541,07,2,  ,    ,03,2002,1,014400,4,2,      ,2,      ,0180.2686
01,29,1,0354,3,2,31,02,02,2000,1,7,Z90,1,081,12,1,066,32,2,  ,    ,02,2001,1,060000,1,2,      ,2,      ,0180.2686
01,29,1,0363,3,2,29,01,03,1997,2,7,066,6,096,88,2,   ,  ,2,  ,    ,88,8888,1,010000,4,2,      ,2,      ,0181.1414
01,29,1,0363,3,1,26,02,05,1998,2,7,133,1,089,24,1,951,60,1,05,2000,  ,    ,1,005000,3,1,888888,2,      ,0181.1414
01,29,1,0368,3,2,28,01,11,1999,2,7,412,1,010,24,1,599,11,2,  ,    ,11,2001,1,005000,4,2,      ,2,      ,0181.1414
01,29,1,0378,3,2,24,01,12,1995,1,3,Z20,1,053,60,1,541,57,2,  ,    ,12,2000,1,004500,1,2,      ,2,      ,0172.5030
01,29,1,0380,4,2,32,01,12,1998,2,3,Z20,1,089,24,1,541,22,2,  ,    ,12,2000,1,004000,1,2,      ,2,      ,0172.5030
01,29,1,0382,3,2,27,01,11,1998,1,6,Z20,1,089,36,1,541,22,2,  ,    ,11,2001,1,035000,1,2,      ,1,001000,0172.5030
01,29,2,0389,3,2,26,02,05,2000,1,6,Z90,1,039,88,1,541,36,2,  ,    ,88,8888,1,010000,1,1,075000,2,      ,0374.2729
01,29,2,0389,3,2,23,02,09,1999,1,7,Z90,1,039,24,1,541,13,2,  ,    ,09,2001,1,010000,1,2,      ,2,      ,0374.2729
