RREG,HHNUM,RRPL,RPSU,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_USOCC,RQ10_REASON,RQ11_BASE,RQ12_CTRY,RQ13_STAY,RQ14_INDWORK,RQ15_OCCUP1,RQ16_NOMONTH,RQ17_RET,RQ18_DTRET,RQ19_REASON,RQ20_DTEXP,RQ21_CASHREM,RQ22_CASHAMT,RQ23_MODE,RQ241C_CONSUM,RQ241P_CONSUM,RQ242C_INVEST,RQ242P_INVEST,RQ243C_SAVINGS,RQ243P_SAVINGS,RQ244C_GIFT,RQ244P_GIFT,RQ245C_OTHERS,RQ245P_OTHERS,RQ25_RET6MOS,RQ26_CASHHOME,RQ27_INKIND,RQ28_KINDAMT,RSWGT,RP6M_IND
16,0082,028,00101,04,03,1,27,01,042017,1,848,41,1,1,214,36,1,93,05,2,      , ,042020,1,0146000,1,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000336.2926,1
16,0083,028,00245,03,02,2,30,01,022016,2,004,91,1,1,234,30,1,91,19,2,      , ,082018,1,0054000,5,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000251.7239,1
16,0084,028,00245,02,02,2,33,01,092017,2,004,13,1,1,233,24,1,91,00,2,      , ,092019,1,0019000,5,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000251.7239,1
16,0085,027,00201,04,07,2,37,03,032017,2,004,09,1,1,235,24,1,91,60,2,      , ,032019,2,       , , ,   , ,   , ,   , ,   , ,   ,2,       ,2,       ,000219.1476,1
16,0086,025,00207,05,02,2,33,01,112015,2,008,52,1,1,234,24,1,91,22,2,      , ,112017,1,0020000,5,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000258.5928,1
16,0087,025,00207,08,03,2,39,01,052017,3,004,09,1,1,232,24,1,52,04,2,      , ,052019,1,0050000,5,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000198.6778,1
16,0087,025,00207,09,03,2,32,01,102016,1,834,13,1,1,232,24,1,52,11,2,      , ,102018,1,0045000,5,1,100, ,   , ,   , ,   , ,   ,2,       ,1,0005000,000258.5928,1
16,0088,025,00207,04,02,2,30,01,072016,2,004,92,1,1,233,24,1,91,14,2,      , ,072018,1,0033000,5,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000258.5928,1
16,0089,027,00105,81,03,2,24,01,052016,1,814,41,4, ,234,05,2,  ,  ,1,102016,3,      ,2,       , , ,   , ,   , ,   , ,   , ,   ,2,       ,2,       ,000239.6353,2
16,0090,027,00105,06,05,1,32,04,052017,2,884,09,1,2,400,11,1,51,55,2,      , ,042018,1,0080000,1,1,050, ,   ,3,050, ,   , ,   ,2,       ,2,       ,000369.0143,1
16,0091,026,00214,02,02,2,25,01,042016,5,004,41,1,1,233,24,1,51,17,2,      , ,042018,1,0012000,5,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000261.4660,1
16,0092,026,00214,02,02,2,27,01,022016,2,003,09,1,1,233,24,1,51,19,2,      , ,022018,1,0063000,5,1,020,2,080, ,   , ,   , ,   ,2,       ,2,       ,000261.4660,1
16,0093,028,00197,12,03,2,25,01,102014,1,003,09,1,1,233,39,1,91,35,2,      , ,012018,1,0060000,5,1,100, ,   , ,   , ,   , ,   ,2,       ,1,0011000,000253.4209,1
16,0094,028,00197,12,03,2,28,02,082017,2,004,09,1,1,231,24,1,91,60,2,      , ,082019,1,0005000,5,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000253.4209,1
16,0095,027,00153,02,03,1,37,04,082017,1,884,93,1,2,300,09,1,31,36,2,      , ,052018,1,0020000,1,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000248.8844,1
16,0096,026,00166,05,03,2,41,03,062016,1,004,51,1,1,233,30,1,91,36,2,      , ,122018,1,0049000,1,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000197.0221,1
16,0096,026,00166,06,03,2,35,01,062015,1,004,52,2,1,300,88,1,91,27,2,      , ,888888,1,0013000,5,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000197.0221,1
16,0097,028,00053,03,03,2,33,02,012017,1,872,22,1,1,235,36,1,22,44,2,      , ,012020,1,0055000,1,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000257.3806,1
16,0098,028,00053,05,03,2,40,01,102014,4,004,93,1,1,234,48,1,91,35,2,      , ,102018,1,0018000,5,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000197.7464,1
16,0099,026,00022,08,03,2,24,01,062017,2,003,51,1,1,231,24,1,91,03,2,      , ,062019,1,0035000,5,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000227.2141,1
16,0100,025,00111,04,03,2,29,01,042013,3,004,61,1,1,100,60,1,93,53,2,      , ,042018,1,0075000,5, ,   ,2,100, ,   , ,   , ,   ,2,       ,2,       ,000261.4660,1
16,0101,026,00037,08,03,2,26,01,082017,1,004,14,1,1,231,24,1,91,01,2,      , ,082019,1,0018000,5,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000556.6531,1
16,0102,026,00037,06,02,2,40,01,032016,2,004,51,1,1,231,24,1,91,18,2,      , ,032018,1,0094000,5,1,080,2,010,3,010, ,   , ,   ,2,       ,2,       ,000484.6707,1
16,0103,028,00141,03,03,2,28,01,072015,1,004,51,1,1,233,26,1,91,26,1,092017,2,      ,1,0055000,5,1,050,2,020,3,010,4,020, ,   ,1,0150000,2,       ,000396.8484,1
16,0104,028,00233,05,02,2,35,01,022016,2,004,62,1,1,233,24,1,91,19,2,      , ,022018,1,0055000,5, ,   , ,   , ,   , ,   ,5,100,2,       ,2,       ,000353.6472,1
16,0105,027,00040,05,02,2,38,01,042016,2,862,42,1,1,232,24,1,91,17,2,      , ,042018,1,0086000,1,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000519.1079,1
16,0106,026,00313,01,01,1,48,03,062017,2,814,23,1,1,212,24,1,93,51,2,      , ,062019,1,0060000,1,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000520.7528,1
16,0106,026,00313,02,02,2,44,02,042017,2,814,23,1,1,212,24,1,93,30,2,      , ,042019,2,       , , ,   , ,   , ,   , ,   , ,   ,2,       ,2,       ,000527.1857,1
16,0106,026,00313,03,03,1,19,01,042015,1,008,92,1,1,212,24,1,93,24,1,042017,2,      ,2,       , , ,   , ,   , ,   , ,   , ,   ,1,0050000,2,       ,000520.6419,1
16,0107,027,00408,04,03,2,23,01,102012,1,008,09,1,1,214,48,1,91,48,1,102016,3,      ,2,       , , ,   , ,   , ,   , ,   , ,   ,2,       ,2,       ,000579.9629,2
16,0108,027,00408,07,05,2,31,01,112015,2,004,14,1,1,231,48,1,91,22,2,      , ,112019,2,       , , ,   , ,   , ,   , ,   , ,   ,2,       ,2,       ,000595.7165,1
16,0109,027,00408,02,02,2,35,01,062017,2,003,14,1,1,234,24,1,91,03,2,      , ,062019,1,0045000,5,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000518.6827,1
16,0110,027,00316,04,03,2,34,02,052017,4,008,91,1,1,235,24,1,53,28,2,      , ,052019,1,0048000,5,1,050, ,   , ,   , ,   ,5,050,2,       ,2,       ,000553.8629,1
16,0111,026,00405,04,03,1,39,02,102016,1,884,83,1,2,212,10,1,83,16,1,082017,2,      ,2,       , , ,   , ,   , ,   , ,   , ,   ,1,0160000,2,       ,000402.6948,1
16,0112,025,00058,02,02,2,40,01,052016,2,004,52,1,1,233,24,1,91,16,2,      , ,052018,1,0042000,5,1,050, ,   , ,   ,4,005,5,045,2,       ,2,       ,000565.9806,1
16,0113,025,00150,05,03,2,24,01,092015,1,881,52,1,1,235,26,1,52,24,2,      , ,112017,1,0054000,5,1,020, ,   , ,   , ,   ,5,080,2,       ,2,       ,000602.1473,1
