RREG,HHNUM,RRPL,RPSU,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6M_DTLEFT,RQ6Y_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_USOCC,RQ10_REASON,RQ11_CTRY,RQ12_STAY,RQ13_INDWORK,RQ14_OCCUP1,RQ15_NOMONTH,RQ16_RET,RQ17M_DTRET,RQ17Y_DTRET,RQ18M_DTEXP,RQ18Y_DTEXP,RQ19_CASHREM,RQ20_CASHAMT,RQ21_MODE,RQ22_RET6MOS,RQ23_CASHHOME,RQ24_INKIND,RQ25_KINDAMT,RSWGT,RP6M_IND
01,0061,001,00222,08,05,2,26,01,10,2005,2,63,021,1,400,36,1,913,23,2,,,10,2008,1,0015000,1,2,,2,,000484.1424,1
01,0061,001,00222,09,03,2,40,01,11,2003,1,04,021,1,400,60,1,913,46,2,,,11,2009,1,0018000,1,2,,2,,000404.6873,1
01,0062,001,00222,05,08,2,37,01,03,2005,2,05,921,1,400,36,1,913,30,2,,,03,2008,1,0010500,1,2,,2,,000404.6873,1
01,0063,001,00222,03,02,2,43,01,12,2003,2,03,921,1,400,60,1,913,45,2,,,12,2008,1,0025000,1,2,,2,,000404.6873,1
01,0064,003,00227,02,03,1,35,01,06,2007,2,63,832,3,400,88,1,512,03,2,,,88,8888,2,,,2,,2,,000403.2092,1
01,0065,003,00227,06,02,1,37,01,02,2005,2,04,611,1,233,36,1,712,31,2,,,02,2008,1,0049000,1,2,,2,,000403.2092,1
01,0066,003,00227,04,07,1,41,01,06,2007,2,04,092,1,400,37,1,512,03,2,,,07,2010,2,,,2,,2,,000403.2092,1
01,0067,003,00227,05,03,2,35,01,04,2005,2,02,021,1,222,36,1,913,29,2,,,04,2008,1,0036000,4,2,,2,,000403.7689,1
01,0067,003,00227,06,03,2,31,02,12,2005,1,04,021,1,222,24,1,913,60,2,,,12,2007,1,0030000,4,2,,2,,000483.0437,1
01,0068,003,00227,04,02,1,43,03,10,2006,2,65,832,1,232,13,1,214,36,2,,,11,2007,1,0085000,1,2,,2,,000403.2092,1
01,0069,003,00227,01,01,1,31,01,05,2003,2,65,092,1,233,38,1,223,44,1,01,2007,,,2,,,2,,2,,000470.5785,2
01,0070,001,00250,04,03,2,35,01,09,2006,3,61,233,1,235,36,1,913,12,2,,,09,2009,1,0030000,1,2,,1,0008500,000403.7689,1
01,0071,001,00278,06,05,1,38,02,03,2007,2,05,931,1,400,12,1,913,60,2,,,03,2008,1,0060000,1,2,,2,,000403.2092,1
01,0071,001,00278,07,03,2,40,02,03,2007,2,63,021,1,400,12,1,913,60,2,,,03,2008,1,0060000,1,2,,2,,000403.7689,1
