REG,HHID,Q1_LNO,Q2_REL,Q3_SEX,Q4_AGE,Q5_TMSLEFT,Q6M_DTLEFT,Q6Y_DTLEFT,Q7_MSTAT,Q8_HGRADE,Q8A_VOC,Q9USOCC,Q10_REASON,Q11_BASE,Q12_CTRY,Q13_STAY,Q14_INDWORK,Q15OCC,Q16_NOMONTH,Q17_RET,Q18M_DTRET,Q18Y_DTRET,Q19_REASON,Q20M_DTEXP,Q20Y_DTEXP,Q21_CASHREM,Q22_CASHAMT,Q23_MODE,Q241C_CONSUM,Q241P_CONSUM,Q242C_INVEST,Q242P_INVEST,Q243C_SAVINGS,Q243P_SAVINGS,Q244C_OTHERS,Q244P_OTHERS,Q25_RET6MOS,Q26_CASHHOME,Q27_INKIND,Q28_KINDAMT,SWGT,P6M_IND
01,122103002501601290001291500700000190294,07,03,2,27,02,07,2011,2,04,2,921,1,1,035,23,1,913,23,2,,,,06,2013,1,0015000,1,1,090,,,3,010,,,1,0040000,2,,000603.1493,1
01,121310002541601290001291600600000040038,07,05,1,50,01,12,2006,2,65,2,611,1,1,035,88,1,742,57,2,,,,88,8888,1,0060000,1,1,075,,,3,025,,,2,,2,,000404.3201,1
01,121310002541601290001291600600000040038,08,03,2,36,02,11,2009,2,05,1,921,1,1,046,24,1,913,46,2,,,,11,2011,1,0030000,1,1,075,,,3,025,,,2,,2,,000455.7144,1
01,121310002541601290001291600600000100091,05,03,1,39,01,10,2009,1,04,2,921,1,1,078,24,1,931,23,2,,,,10,2011,1,0025000,1,1,100,,,,,,,2,,2,,000459.7142,1
01,121310002541601290001291600600000150137,06,03,2,25,01,12,2009,1,05,1,921,1,1,051,24,1,913,21,2,,,,12,2011,1,0015000,1,1,100,,,,,,,2,,2,,000573.5707,1
01,422132002682001290001292000300000030027,08,03,2,32,01,07,2008,1,63,2,341,2,1,018,47,1,913,38,2,,,,06,2012,1,0070000,1,1,030,2,060,3,010,,,2,,2,,000623.3506,1
01,422132002682001290001292000300000070085,04,05,2,35,01,01,2011,2,68,2,522,1,1,094,35,1,913,08,2,,,,12,2013,1,0030000,1,1,060,2,040,,,,,2,,2,,000495.2656,1
01,422132002682001290001292000300000080100,07,05,1,37,02,10,2010,2,05,2,921,1,1,094,23,1,512,36,2,,,,09,2012,1,0060000,1,1,070,2,030,,,,,2,,2,,000499.6125,1
01,121118002781601290001292300300000010004,04,05,1,35,03,06,2011,2,61,2,611,1,1,081,12,1,330,60,2,,,,06,2012,1,0020000,4,1,100,,,,,,,1,0050000,2,,000457.9781,1
01,121118002781601290001292300300000020017,08,03,2,31,02,04,2010,1,05,2,021,1,1,082,88,1,913,60,2,,,,88,8888,1,0030000,4,1,100,,,,,,,2,,2,,000571.4047,1
01,121118002781601290001292300300000070084,07,02,1,48,03,05,2011,2,65,2,611,1,2,082,09,1,834,60,2,,,,02,2012,1,0060000,4,1,100,,,,,,,2,,2,,000402.7932,1
01,121118002781601290001292300300000080096,01,01,1,54,05,08,2010,2,68,2,611,1,2,035,11,1,834,40,1,07,2011,1,,,1,0030000,4,1,100,,,,,,,1,0050000,2,,000402.7932,1
01,121118002781601290001292300300000110134,07,03,2,24,02,05,2011,1,63,2,021,1,1,082,24,1,913,60,2,,,,05,2013,1,0020000,4,1,100,,,,,,,2,,2,,000480.4955,1
01,421341002892001290001292402900000090128,05,02,1,41,02,04,2011,2,04,2,921,1,1,078,12,1,713,24,2,,,,04,2012,1,0048000,1,1,080,2,020,,,,,1,0038000,2,,000513.7983,1
01,222224002921601290001292503000000030033,04,02,1,37,05,09,2010,2,65,2,023,1,2,052,12,1,834,50,1,09,2011,2,,,1,0060000,1,1,050,2,030,3,020,,,1,0250000,2,,000459.0198,1
01,222224002921601290001292503000000090127,04,02,2,44,02,12,2009,2,04,2,021,1,1,094,24,1,913,34,2,,,,12,2011,1,0050000,1,1,060,2,030,3,010,,,2,,2,,000455.0260,1
01,222224002921601290001292503000000100144,03,02,2,51,04,05,2010,2,63,2,021,1,1,039,19,1,913,42,2,,,,12,2011,1,0053000,4,1,060,2,030,3,010,,,2,,2,,000389.4993,1
01,222224002921601290001292503000000110160,04,03,1,35,01,05,2011,2,05,1,723,1,1,051,24,1,723,04,2,,,,05,2013,1,0038500,1,1,050,2,030,3,020,,,2,,2,,000459.0198,1
01,221321003141601290001292700900000020015,06,03,2,25,01,02,2010,1,04,2,021,1,1,051,24,1,913,19,2,,,,02,2012,1,0180000,1,1,090,,,3,010,,,2,,2,,000573.5707,1
01,221321003141601290001292700900000170202,04,03,2,33,01,05,2010,2,04,2,021,2,1,083,88,1,913,16,2,,,,88,8888,1,0030000,1,1,080,2,020,,,,,2,,2,,000573.5707,1
01,221321003141601290001292700900000170202,07,03,2,31,02,09,2008,2,04,1,421,2,1,083,36,1,913,60,1,09,2011,3,,,1,0025000,1,1,080,2,020,,,,,1,0100000,2,,000573.5707,1
01,422213003302001290001293004100000010003,02,03,2,32,01,12,2010,1,57,1,021,1,1,082,24,1,913,09,2,,,,12,2012,1,0020000,5,1,060,2,020,3,020,,,2,,2,,000572.7043,1
01,422213003302001290001293004100000030030,06,06,2,45,02,06,2011,1,63,2,021,1,1,039,11,1,913,48,2,,,,05,2012,1,0024000,4,1,080,2,010,3,010,,,1,0080000,1,0005000,000389.4993,1
01,422213003302001290001293004100000030030,07,06,2,43,02,05,2009,1,05,2,021,1,1,039,31,1,913,48,2,,,,12,2011,1,0072000,1,1,070,2,010,3,020,,,2,,2,,000455.0260,1
01,422213003302001290001293004100000100126,03,05,2,27,01,11,2009,2,53,2,913,1,1,078,28,1,422,22,2,,,,03,2012,1,0042000,5,1,080,2,010,3,010,,,2,,2,,000572.7043,1
01,422213003302001290001293004100000130167,03,03,1,31,02,06,2011,1,67,2,223,1,1,047,30,1,513,48,2,,,,12,2013,1,0075000,1,1,070,2,020,3,010,,,1,0100000,1,0012000,000556.4732,1
01,221108003521601290001293401000000020010,05,03,2,30,01,04,2011,2,05,2,512,1,1,094,88,1,512,05,2,,,,88,8888,2,,,,,,,,,,,2,,2,,000571.4047,1
01,221108003521601290001293401000000050035,05,05,1,48,05,08,2011,2,65,2,023,1,2,094,09,1,834,50,2,,,,05,2012,1,0075000,1,1,080,,,3,020,,,1,0050000,1,0045000,000402.7932,1
01,221108003521601290001293401000000070053,02,03,2,36,02,05,2009,1,67,2,223,1,1,082,88,1,513,44,2,,,,88,8888,1,0012000,1,1,067,,,3,033,,,2,,2,,000453.9934,1
01,221108003521601290001293401000000140110,08,04,1,34,02,02,2010,2,65,2,131,1,1,078,22,1,215,54,2,,,,12,2011,1,0042000,1,1,090,,,3,010,,,2,,2,,000555.2104,1
