RREG,HHNUM,RRPL,RSTR,RPSU,RROTATION,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6M_DTLEFT,RQ6Y_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_USOCC,RQ10_REASON,RQ11_BASE,RQ12_CTRY,RQ13_STAY,RQ14_INDWORK,RQ15_OCCUP1,RQ16_NOMONTH,RQ17_RET,RQ18M_DTRET,RQ18Y_DTRET,RQ19_REASON,RQ20M_DTEXP,RQ20Y_DTEXP,RQ21_CASHREM,RQ22_CASHAMT,RQ23_MODE,RQ241C_CONSUM,RQ241P_CONSUM,RQ242C_INVEST,RQ242P_INVEST,RQ243C_SAVINGS,RQ243P_SAVINGS,RQ244C_GIFT,RQ244P_GIFT,RQ245C_OTHERS,RQ245P_OTHERS,RQ25_RET6MOS,RQ26_CASHHOME,RQ27_INKIND,RQ28_KINDAMT,RSWGT,RP6M_IND
01,0063,2,21314,00123,26,02,03,1,26,01,05,2014,5,06,421,1,1,234,24,1,512,16,2,,,,05,2016,1,0045000,1,1,100,,,,,,,,,2,,2,,000513.8142,1
01,0064,2,21314,00123,26,04,05,1,24,02,09,2015,2,55,522,1,2,500,11,1,913,22,2,,,,08,2016,1,0008000,1,1,100,,,,,,,,,1,0050000,2,,000489.4454,1
01,0065,3,22120,00128,28,81,07,2,63,01,04,2011,3,04,021,6,,500,60,1,913,53,2,,,,04,2016,1,0030000,4,1,100,,,,,,,,,2,,2,,000485.1888,
01,0066,3,22120,00128,28,01,01,1,43,02,05,2012,2,04,611,1,1,234,48,1,913,48,2,,,,05,2016,1,0007000,5,1,100,,,,,,,,,2,,2,,000479.2269,1
01,0067,4,21307,00160,28,01,01,1,39,01,04,2012,2,04,921,1,1,233,60,1,512,41,2,,,,04,2017,1,0019000,1,1,100,,,,,,,,,2,,2,,000478.4997,1
01,0068,4,21307,00160,28,03,06,2,23,01,05,2014,2,67,223,1,1,233,24,1,223,16,2,,,,05,2016,1,0120000,1,1,080,,,3,020,,,,,2,,2,,000498.1886,1
01,0069,4,21307,00160,28,02,02,2,47,02,06,2014,2,04,021,1,1,222,26,1,913,39,2,,,,08,2016,1,0018000,5,1,100,,,,,,,,,2,,2,,000394.4685,1
01,0070,4,21307,00160,28,08,03,2,29,01,02,2014,2,63,419,1,1,213,24,1,143,19,2,,,,02,2016,1,0040000,5,1,100,,,,,,,,,2,,2,,000540.4120,1
01,0070,4,21307,00160,28,07,05,1,28,02,06,2015,2,55,921,1,1,232,24,1,832,33,2,,,,06,2017,1,0016000,5,1,100,,,,,,,,,2,,2,,000513.8142,1
01,0071,1,21233,00175,26,02,02,2,35,01,03,2014,2,02,921,1,1,400,24,1,913,18,2,,,,03,2016,1,0060000,1,1,100,,,,,,,,,2,,2,,000476.4267,1
01,0072,1,21233,00175,26,02,02,2,41,02,09,2014,2,04,021,1,1,211,24,1,913,58,2,,,,09,2016,1,0090000,1,1,080,,,3,020,,,,,2,,2,,000476.4267,1
01,0073,1,21233,00175,26,05,07,1,51,02,08,2015,2,02,611,1,1,400,48,1,513,49,2,,,,08,2019,1,0030000,1,1,100,,,,,,,,,1,0030000,1,0006000,000413.2040,1
01,0073,1,21233,00175,26,06,07,2,50,02,08,2015,2,04,021,1,1,400,48,1,913,56,2,,,,08,2019,1,0030000,1,1,080,,,3,020,,,,,1,0070000,1,0015000,000395.3677,1
01,0074,1,21233,00175,26,03,03,2,28,02,03,2015,1,67,223,1,1,233,24,1,223,28,2,,,,03,2017,1,0060000,1,1,100,,,,,,,,,2,,2,,000541.6440,1
01,0075,1,21233,00175,26,04,05,2,32,01,04,2014,2,53,021,1,1,231,13,1,913,13,1,03,2015,3,,,2,,,,,,,,,,,,,2,,2,,000541.6440,2
01,0076,4,21137,00169,28,02,02,2,36,03,07,2015,2,67,223,1,1,233,24,1,223,40,2,,,,07,2017,1,0036000,1,1,090,,,3,010,,,,,2,,2,,000476.4267,1
01,0077,4,21137,00169,28,03,05,1,40,05,09,2015,2,55,314,1,2,400,07,1,314,35,2,,,,04,2016,2,,,,,,,,,,,,,2,,2,,000479.5905,1
01,0078,4,21137,00169,28,04,03,2,34,02,05,2014,4,67,411,1,1,233,24,1,421,40,2,,,,05,2016,1,0060000,1,1,100,,,,,,,,,2,,2,,000541.6440,1
01,0079,4,21214,00181,28,03,03,2,23,01,09,2015,1,67,023,1,1,233,24,1,223,00,2,,,,09,2017,2,,,,,,,,,,,,,2,,2,,000499.3243,1
01,0080,4,21214,00181,28,03,03,2,39,02,09,2012,2,04,021,1,1,213,39,1,513,60,2,,,,12,2015,1,0010000,1,1,050,2,050,,,,,,,2,,2,,000476.4267,1
01,0081,4,21214,00181,28,03,03,1,25,02,01,2015,1,04,921,1,2,213,12,1,921,21,2,,,,01,2016,1,0009000,1,1,100,,,,,,,,,2,,2,,000514.9855,1
01,0082,4,21214,00181,28,81,03,1,35,02,07,2015,2,06,724,6,,500,12,1,315,50,2,,,,07,2016,1,0018000,5,1,100,,,,,,,,,1,0075000,1,0008000,000485.5569,
01,0083,4,21214,00181,28,02,05,1,29,01,05,2014,2,05,913,1,2,213,24,1,921,16,2,,,,05,2016,1,0012100,2,1,100,,,,,,,,,2,,2,,000514.9855,1
01,0084,4,21214,00181,28,02,02,2,31,01,01,2011,2,06,921,1,1,234,88,1,913,56,2,,,,88,8888,1,0065000,1,1,050,2,050,,,,,,,2,,2,,000541.6440,1
01,0085,3,22234,00207,28,01,01,1,40,01,02,2013,2,04,131,1,1,233,36,1,833,31,2,,,,02,2016,1,0120000,2,1,090,2,010,,,,,,,2,,2,,000480.6813,1
01,0086,3,22234,00207,28,03,03,1,25,01,03,2015,1,06,611,1,1,233,24,1,915,06,2,,,,03,2017,1,0016000,1,1,050,2,050,,,,,,,2,,2,,000516.1568,1
01,0087,3,22234,00207,28,03,03,1,25,01,09,2014,1,06,512,1,1,233,24,1,512,12,2,,,,09,2016,1,0024000,2,1,100,,,,,,,,,2,,2,,000516.1568,1
01,0088,3,21331,00200,28,02,05,1,27,01,01,2013,2,04,832,1,1,233,34,1,931,32,2,,,,11,2015,1,0015000,2,1,100,,,,,,,,,2,,2,,000566.6187,1
01,0089,3,21331,00200,28,04,03,2,29,01,07,2014,1,04,913,1,1,234,24,1,913,14,2,,,,07,2016,1,0030000,2,1,100,,,,,,,,,2,,1,0005000,000595.9499,1
01,0089,3,21331,00200,28,10,03,1,34,01,12,2014,2,04,611,1,1,233,24,1,931,09,2,,,,12,2016,1,0036000,2,1,100,,,,,,,,,2,,2,,000566.6187,1
01,0090,3,21331,00200,28,01,01,1,40,02,02,2014,1,06,911,1,1,235,24,1,913,43,2,,,,02,2016,1,0016000,2,1,100,,,,,,,,,2,,2,,000527.6749,1
01,0091,2,21223,00212,26,05,02,2,38,02,07,2015,2,54,021,1,1,222,24,1,913,44,2,,,,07,2017,1,0024000,5,1,100,,,,,,,,,1,0050000,1,0015000,000476.4267,1
