RREG,HHNUM,RRPL,RPSU,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6M_DTLEFT,RQ6Y_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_USOCC,RQ10_REASON,RQ11_BASE,RQ12_CTRY,RQ13_STAY,RQ14_INDWORK,RQ15_OCCUP1,RQ16_NOMONTH,RQ17_RET,RQ18M_DTRET,RQ18Y_DTRET,RQ19_REASON,RQ20M_DTEXP,RQ20Y_DTEXP,RQ21_CASHREM,RQ22_CASHAMT,RQ23_MODE,RQ241C_CONSUM,RQ241P_CONSUM,RQ242C_INVEST,RQ242P_INVEST,RQ243C_SAVINGS,RQ243P_SAVINGS,RQ244C_GIFT,RQ244P_GIFT,RQ245C_OTHERS,RQ245P_OTHERS,RQ25_RET6MOS,RQ26_CASHHOME,RQ27_INKIND,RQ28_KINDAMT,RSWGT,RP6M_IND
01,0087,011,00697,01,01,1,54,08,04,2016,2,68,611,1,2,500,04,1,315,58,1,08,2016,2,,,1,0170000,1,1,030,2,015,3,050,4,005,,,1,0150000,2,,000440.6556,1
01,0088,011,00697,01,01,1,35,01,02,2015,2,04,921,1,1,232,24,1,832,19,2,,,,02,2017,1,0039000,5,1,100,,,,,,,,,2,,1,0004000,000554.2131,1
01,0089,011,00697,02,03,1,30,03,09,2016,2,56,921,1,1,233,24,1,532,60,2,,,,09,2018,1,0005000,5,1,100,,,,,,,,,2,,2,,000473.6221,1
01,0090,011,00340,08,03,2,23,01,08,2016,1,63,431,1,1,211,24,1,911,01,2,,,,08,2018,2,,,,,,,,,,,,,2,,2,,000474.0565,1
01,0091,011,00340,05,03,2,36,02,01,2016,2,58,341,1,1,233,24,1,911,36,2,,,,01,2018,1,0048000,5,1,100,,,,,,,,,2,,2,,000496.0245,1
01,0092,011,00340,01,01,1,36,03,09,2015,2,54,411,1,1,234,24,1,513,60,2,,,,09,2017,1,0090000,5,1,075,,,3,025,,,,,2,,2,,000533.1288,1
01,0092,011,00340,02,02,2,33,03,09,2015,2,68,091,1,1,234,18,1,143,60,2,,,,03,2017,2,,,,,,,,,,,,,2,,2,,000463.9452,1
01,0093,011,00340,02,02,2,41,03,05,2014,2,06,921,1,1,211,36,1,911,60,2,,,,05,2017,1,0066000,5,1,100,,,,,,,,,2,,1,0040000,000496.0245,1
01,0094,010,00017,02,03,1,34,01,04,2015,1,67,222,1,1,233,24,1,222,17,2,,,,04,2017,1,0024000,5,1,100,,,,,,,,,2,,2,,000409.6070,1
01,0095,010,00017,04,05,2,30,01,11,2014,2,67,222,1,1,233,24,1,222,22,2,,,,11,2016,1,0072000,5,1,070,,,3,030,,,,,2,,2,,000417.1063,1
