REGN,PROV,URB,HHCN,REL,SEX,AGE,TMSLEFT,DTLEFTMONTH,DTLEFTYEAR,MSTAT,HGRADE,USOCC,REASON,CTRY,STAY,RET,DTRETMON,DTRETYR,WORK1,OCUP1,DTEXPMON,DTEXPYR,WORK2,OCUP2,NOMONTH,CASHREM,CASHAMT,MODE,CASHHOME,INKIND,KINDAMT,SWGT
13,74,1,892,1,1,30,1,5,94,2,4,872,1,81,24,2,,,,,5,96,1,846,16,1,30000,4,,2,,0.436
13,74,1,894,3,1,27,1,8,91,1,5,Z90,1,81,24,1,8,93,1,985,,,,,33,2,,,,2,,0.436
13,74,1,895,1,1,28,2,4,95,2,4,599,1,81,36,2,,,,,88,88,1,949,5,1,30000,4,,2,,0.436
13,74,1,826,2,2,27,1,10,93,2,4,Z20,1,82,24,2,,,,,11,95,1,541,33,1,17500,4,,1,1500,0.436
13,74,1,837,3,2,24,1,11,94,1,4,Z90,1,82,24,2,,,,,11,96,1,541,10,1,17000,1,,2,,0.436
13,74,1,940,2,1,40,2,7,92,2,3,Z90,1,81,24,1,7,95,1,985,,,,,35,1,28000,1,50000,1,10000,0.436
13,74,1,945,2,1,49,3,1,94,2,1,700,1,81,88,2,,,,,5,96,1,859,20,1,15000,4,,1,7000,0.436
13,74,1,952,2,1,37,2,11,93,2,4,801,1,39,24,2,,,,,12,95,1,541,22,1,39000,1,,2,,0.436
13,74,1,879,2,1,55,2,4,93,2,5,859,1,81,24,2,,,,,12,95,1,859,29,1,54000,1,,2,,0.436
13,74,1,880,3,1,45,4,8,95,1,6,Z90,1,95,8,2,,,,,4,96,1,531,1,1,2000,1,,2,,0.436
13,74,1,886,2,2,36,1,6,95,2,4,Z90,1,52,6,2,,,,,1,96,1,179,3,1,20000,3,,2,,0.436
13,74,1,901,4,1,36,2,3,95,2,5,412,1,83,10,2,,,,,2,96,1,981,6,2,,,,2,,0.436
13,74,1,901,3,1,34,3,4,95,2,6,Z90,1,83,10,2,,,,,2,96,1,981,6,2,,,,2,,0.436
13,74,1,915,3,2,24,1,5,95,1,4,Z90,1,52,6,2,,,,,11,95,1,179,4,2,,,,2,,0.436
13,74,1,919,3,1,25,1,11,94,1,6,834,1,52,12,2,,,,,10,95,1,981,10,1,18000,1,,2,,0.436
13,74,1,922,4,1,29,1,10,93,2,5,X10,1,81,24,2,,,,,10,95,1,949,24,1,41000,1,,2,,0.436
13,74,1,925,6,1,26,1,10,93,1,5,Z90,1,52,24,2,,,,,10,95,1,981,24,1,41000,1,,2,,0.436
13,74,1,932,1,2,48,1,2,95,3,2,794,1,78,24,2,,,,,2,97,1,794,8,2,,,,2,,0.436
13,74,1,932,3,1,27,1,5,93,1,6,111,1,94,36,2,,,,,4,96,1,111,28,1,70000,1,,2,,0.436
13,74,1,933,6,1,26,1,7,94,1,6,Z90,1,89,24,2,,,,,6,96,1,451,14,1,80000,1,,1,3500,0.436
13,74,1,954,3,2,24,1,1,95,2,6,67,6,9,88,2,,,,,2,96,2,,,2,,,,2,,0.436
13,74,1,1017,3,1,45,5,4,95,4,3,171,1,57,6,2,,,,,10,95,1,171,6,1,25000,3,,2,,0.4658
13,74,1,1018,2,1,30,1,8,92,2,6,843,1,81,36,1,7,95,1,843,,,,,34,1,26250,3,332500,1,8500,0.4658
