REGN,PROV,URB,HHCN,REL,SEX,AGE,TMSLEFT,MOLEFT,YRLEFT,MSTAT,GRADE,USOCC,REASON,CTRY,STAY,WORK,OCUP,NOMONTH,RET,MORET,YRRET,MOEXP,YREXP,CASHREM,CASHAMT,MODE,CASHHOME,INKIND,KINDAMT,SWGT
1,55,1,1267,4,2,34,2,8,99,4,4,626,1,39,24,1,541,26,2,,,9,2001,1,16000,1,,1,18000,304.455
1,55,1,1552,3,2,34,1,12,98,1,6,Z20,1,35,24,1,541,36,2,,,12,2000,1,35000,1,,2,,304.4539
1,55,1,1554,3,2,24,1,1,99,1,7,Z30,1,39,24,1,541,10,2,,,1,2001,1,22000,4,,2,,304.4539
1,55,1,1558,3,1,23,1,12,98,1,4,999,1,81,24,1,872,23,2,,,12,2000,1,30000,4,,2,,304.4539
1,55,1,1282,3,2,24,1,4,98,1,6,532,1,80,12,1,532,12,1,4,99,,,2,,,,1,5200,332.1322
1,55,2,1770,4,1,31,1,1,96,2,4,846,6,81,48,1,846,42,2,,,12,1999,1,24000,1,,2,,937.2813
1,55,2,1778,2,2,35,2,7,99,2,4,Z20,1,82,24,1,541,48,2,,,6,2001,1,8000,4,25000,1,8250,937.2786
1,55,2,1878,3,2,22,1,3,98,1,3,Z20,1,39,24,1,541,12,2,,,3,2000,1,60000,4,,2,,961.5338
1,55,1,1564,4,2,32,1,1,99,2,4,Z20,1,39,24,1,541,10,2,,,1,2001,1,30000,4,,2,,304.4528
1,55,1,1565,1,1,31,2,12,98,2,4,611,1,47,24,1,541,60,2,,,12,2000,1,40000,4,,2,,304.4528
1,55,1,1569,3,1,25,1,1,98,1,7,Z30,1,89,24,1,949,48,2,,,1,2001,1,30000,1,,2,,304.4528
1,55,1,1571,4,1,39,2,3,99,2,6,425,1,47,36,1,985,24,2,,,3,2001,1,30000,1,,2,,304.4528
1,55,1,1571,4,2,39,2,3,99,2,7,134,1,47,36,1,541,24,2,,,3,2001,2,,,,2,,304.4528
1,55,1,1572,6,1,43,1,12,97,2,6,425,6,96,36,1,451,36,2,,,5,2000,1,35000,4,,2,,304.4528
1,55,1,1572,6,2,41,1,12,97,2,7,135,6,96,36,1,490,21,2,,,5,2000,2,,,,1,20000,304.4528
1,55,2,1886,2,2,23,1,1,97,2,4,Z20,1,82,24,1,541,36,1,7,99,,,1,18000,1,30000,2,,1249.7095
1,55,2,1888,3,2,45,1,12,96,1,4,Z20,1,39,24,1,541,12,2,,,1,2000,1,30000,1,,2,,1249.7095
1,55,1,1583,3,2,26,1,7,99,1,7,Z20,1,18,24,1,551,2,2,,,8,2001,1,15000,4,,2,,255.8281
1,55,2,1904,3,2,24,2,6,97,1,6,755,1,82,24,1,541,51,2,,,12,1999,1,6000,2,,2,,976.6312
1,55,2,1756,2,2,35,1,9,98,2,6,067,1,82,24,1,974,24,2,,,9,2000,1,30000,4,,2,,1022.491
1,55,1,1503,6,2,50,2,5,98,3,3,Z20,1,39,17,1,541,41,2,,,5,2000,1,52000,1,,2,,332.1332
1,55,1,1512,2,2,47,2,9,98,2,4,Z20,1,39,18,1,541,30,2,,,4,2000,1,70000,4,,2,,332.1332
1,55,2,1686,3,2,40,2,7,99,1,7,949,1,94,36,1,541,60,1,7,99,,,1,6000,3,20000,1,500,1012.2611
1,55,1,1515,3,2,24,1,9,96,1,4,542,1,82,60,1,541,36,2,,,3,2001,2,,,,2,,355.552
1,55,1,1515,3,2,25,1,3,99,1,4,Z90,1,82,36,1,541,60,2,,,3,2001,2,,,,2,,355.552
1,55,1,1516,6,1,43,5,2,99,2,1,Z90,6,96,12,2,,,2,,,12,2001,1,13500,2,,1,,355.552
1,55,1,1516,6,2,59,3,2,99,2,3,Z90,6,96,12,1,593,60,2,,,88,8888,2,,,,2,,355.552
1,55,1,1526,2,1,39,1,1,99,2,4,846,6,96,88,1,361,48,2,,,88,8888,1,68400,1,,2,,304.4545
1,55,1,1534,2,2,32,1,6,98,2,2,Z90,1,90,24,1,541,16,2,,,6,2000,1,999999,4,,2,,304.4545
1,55,2,1801,1,1,32,2,5,99,2,6,985,1,81,12,1,985,48,2,,,5,2000,1,20000,1,,2,,937.2812
1,55,2,1802,1,1,49,3,1,99,2,6,622,1,81,12,1,954,49,2,,,88,8888,1,27000,1,,2,,937.2812
1,55,2,1804,3,2,30,2,10,98,1,4,622,1,39,16,1,541,40,2,,,12,2000,1,26000,4,,2,,937.2812
1,55,2,1805,3,1,55,1,9,97,4,4,611,1,81,24,1,871,60,2,,,88,8888,1,36000,1,,1,2550,937.2812
1,55,2,1806,3,1,22,1,4,96,1,6,622,3,18,88,1,985,24,2,,,12,2000,1,25000,1,,2,,937.2812
1,55,2,1808,4,1,60,1,6,96,2,4,985,3,52,48,1,985,53,2,,,88,8888,1,25000,4,,2,,937.2812
1,55,2,1808,3,2,36,2,5,98,2,4,Z20,1,83,18,1,541,36,2,,,88,8888,1,6000,4,,2,,937.2812
1,55,2,1820,3,2,27,2,5,97,1,4,Z20,1,50,12,1,541,29,2,,,5,2000,1,44000,4,,2,,1124.745
1,55,1,1546,6,2,37,2,6,98,2,7,411,6,96,88,1,325,60,2,,,4,2000,2,,,,2,,332.1311
1,55,1,1545,3,2,33,2,3,99,2,4,Z90,1,82,24,1,541,31,2,,,3,2001,1,2500,1,,2,,332.1311
1,55,1,1547,3,1,38,2,9,99,2,6,589,1,81,24,1,959,25,2,,,10,2001,2,,,,2,,332.1311
1,55,1,1548,3,2,48,2,3,98,4,6,Z90,1,39,24,1,541,60,2,,,3,2001,1,30000,4,,2,,332.1311
1,55,2,1825,2,2,39,1,9,99,2,4,452,1,82,24,2,,,2,,,9,2001,2,,,,2,,1022.4883
1,55,2,1826,3,2,26,1,5,98,1,6,Z90,1,89,60,2,,,2,,,5,2001,1,5000,4,,2,,1022.4883
1,55,2,1826,2,2,51,1,2,97,2,4,Z20,6,96,88,1,541,31,2,,,88,8888,1,20000,4,,2,,1022.4883
2,9,1,1,3,1,38,4,7,99,1,6,999,1,999,12,1,982,26,2,,,88,8888,2,,,,2,,24.9678
2,9,1,1,3,1,38,4,7,99,1,6,999,1,999,12,1,982,26,2,,,88,8888,2,,,,2,,24.9678
2,9,1,20,1,2,44,1,6,99,2,5,Z90,6,33,60,1,542,60,2,,,5,2004,1,25000,1,,1,5580,24.9678
2,9,1,33,7,2,43,1,6,99,1,7,067,1,54,24,1,541,58,2,,,5,2000,2,,,,1,1750,24.9678
2,9,2,50,4,1,31,5,1,99,2,5,Z90,1,47,10,1,981,39,2,,,12,1999,1,180000,1,,2,,41.6674
