RREG,HHNUM,RRPL,RPSU,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6M_DTLEFT,RQ6Y_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_USOCC,RQ10_REASON,RQ11_CTRY,RQ12_STAY,RQ13_INDWORK,RQ14_OCCUP1,RQ15_NOMONTH,RQ16_RET,RQ17M_DTRET,RQ17Y_DTRET,RQ18M_DTEXP,RQ18Y_DTEXP,RQ19_CASHREM,RQ20_CASHAMT,RQ21_MODE,RQ221C_CONSUM,RQ221P_CONSUM,RQ222C_INVEST,RQ222P_INVEST,RQ223C_SAVINGS,RQ223P_SAVINGS,RQ224C_OTHERS,RQ224P_OTHERS,RQ23_RET6MOS,RQ24_CASHHOME,RQ25_INKIND,RQ26_KINDAMT,RSWGT,RP6M_IND
01,0067,003,00227,05,03,2,26,02,06,2010,1,65,023,1,222,24,1,513,27,2,,,06,2012,1,0030000,1,1,100,,,,,,,2,,2,,000612.1181,1
01,0068,003,00227,07,02,2,44,01,10,2009,2,65,023,1,222,24,1,913,11,2,,,10,2011,1,0048000,1,1,100,,,,,,,2,,2,,000481.2882,1
01,0069,003,00227,02,02,2,38,01,08,2009,2,04,921,1,234,12,1,913,12,1,08,2010,,,2,,,,,,,,,,,1,0015000,2,,000481.2882,1
01,0070,001,00250,06,08,1,35,01,05,2007,1,61,234,1,223,48,1,231,40,2,,,05,2011,1,0018000,1,1,100,,,,,,,2,,2,,000470.1691,1
01,0071,001,00250,06,03,2,33,02,11,2005,2,65,223,1,233,60,1,223,60,2,,,11,2010,1,0040000,5,1,050,2,020,3,030,,,2,,2,,000586.8239,1
01,0072,001,00250,11,05,1,27,01,01,2010,2,04,931,1,221,24,1,721,08,2,,,01,2012,1,0010000,1,1,060,,,3,040,,,2,,2,,000568.5370,1
01,0073,001,00250,06,05,2,28,01,03,2010,2,04,921,1,211,36,1,913,06,2,,,03,2013,1,0010000,1,1,050,2,050,,,,,2,,2,,000586.8239,1
01,0074,001,00250,07,02,2,52,01,09,2008,2,04,921,1,233,36,1,513,24,2,,,09,2011,1,0040000,1,1,060,2,010,3,030,,,2,,2,,000413.6976,1
01,0074,001,00250,08,03,2,26,01,09,2009,2,04,921,1,400,24,1,913,12,2,,,09,2011,1,0030000,1,1,050,2,020,3,030,,,2,,2,,000586.8239,1
01,0075,001,00254,06,05,1,49,01,03,2006,2,65,611,1,400,60,1,829,54,2,,,03,2011,1,0060000,1,1,050,2,020,3,030,,,2,,2,,000383.9043,1
01,0075,001,00254,07,03,2,35,02,11,2009,1,05,921,1,235,24,1,913,46,2,,,11,2011,1,0020000,1,1,040,2,020,3,040,,,2,,2,,000424.5535,1
01,0076,001,00254,03,03,2,29,01,11,2008,1,04,921,1,235,24,1,913,22,2,,,11,2010,1,0030000,1,1,070,,,3,030,,,2,,2,,000539.9610,1
01,0077,001,00254,04,03,1,38,01,10,2009,1,04,611,1,232,24,1,829,11,2,,,10,2011,1,0030000,1,1,060,,,3,040,,,2,,2,,000432.6221,1
01,0078,001,00254,10,03,2,24,02,12,2009,1,05,921,1,231,24,1,913,34,2,,,12,2011,1,0040000,1,1,060,2,025,3,015,,,2,,2,,000459.1728,1
01,0079,004,00268,06,03,2,31,01,10,2009,1,64,023,1,500,24,1,311,11,2,,,10,2011,1,0040000,1,1,075,,,3,025,,,2,,2,,000612.1181,1
01,0080,004,00268,03,02,2,32,02,12,2009,2,04,023,1,500,36,1,513,33,2,,,12,2012,1,0045000,1,1,080,,,3,020,,,2,,2,,000612.1181,1
01,0081,001,00278,04,05,1,34,01,09,2010,2,61,233,1,233,24,1,233,00,2,,,09,2012,1,0005000,1,,,,,3,100,,,2,,2,,000521.1589,1
01,0082,001,00278,10,03,2,31,01,04,2009,1,05,021,1,222,24,1,913,17,2,,,04,2011,1,0025000,5,1,100,,,,,,,1,0020000,2,,000537.9219,1
01,0083,001,00278,06,03,2,29,01,01,2006,1,64,522,1,231,33,1,913,33,1,10,2008,,,2,,,,,,,,,,,2,,2,,000537.9219,2
01,0084,001,00278,06,02,1,47,03,02,2010,2,65,611,1,500,09,1,834,44,2,,,11,2010,1,0120000,1,1,100,,,,,,,2,,2,,000382.4545,1
01,0085,001,00278,01,01,1,53,05,02,2009,2,68,023,1,400,10,1,723,60,1,12,2009,,,2,,,,,,,,,,,2,,2,,000382.4545,2
01,0086,001,00278,02,02,2,32,02,05,2008,2,04,921,1,222,88,1,913,60,2,,,88,8888,1,0006000,5,1,100,,,,,,,2,,2,,000537.9219,1
01,0087,001,00278,07,03,2,23,01,07,2008,1,63,023,1,222,88,1,512,26,2,,,88,8888,1,0043000,1,1,100,,,,,,,1,0015000,1,0003000,000457.4387,1
01,0088,002,00292,04,02,1,37,04,08,2010,2,65,834,1,300,09,1,834,36,2,,,05,2011,1,0075600,1,1,050,2,020,3,030,,,1,0250000,2,,000431.9686,1
01,0089,002,00292,03,02,2,50,01,04,2009,2,63,419,1,211,32,1,913,17,2,,,12,2011,1,0031000,1,1,060,2,030,3,010,,,2,,2,,000380.0853,1
01,0090,002,00306,01,01,1,41,01,01,2006,2,65,611,1,233,35,1,211,35,1,12,2008,,,2,,,,,,,,,,,2,,2,,000470.1691,2
01,0091,002,00306,01,01,1,25,01,01,2008,2,05,311,4,212,03,1,713,03,1,04,2008,,,2,,,,,,,,,,,2,,2,,000568.5370,2
01,0091,002,00306,02,02,2,26,03,06,2010,2,65,223,1,233,10,1,223,23,2,,,04,2011,2,,,,,,,,,,,2,,2,,000586.8239,1
01,0092,002,00306,01,01,1,30,01,01,2007,2,05,611,1,213,35,1,932,35,1,12,2009,,,2,,,,,,,,,,,2,,2,,000568.5370,2
01,0093,002,00314,05,03,2,24,01,02,2010,1,04,513,1,231,24,1,913,07,2,,,02,2012,1,0012000,1,1,090,2,010,,,,,2,,2,,000483.3398,1
01,0094,002,00314,06,03,2,32,01,02,2010,2,04,021,1,400,14,1,913,07,2,,,04,2011,1,0024000,1,1,080,2,020,,,,,2,,2,,000568.3801,1
01,0094,002,00314,07,03,2,30,02,09,2009,2,04,021,1,400,88,1,913,25,2,,,88,8888,2,,,,,,,,,,,2,,2,,000568.3801,1
01,0095,004,00330,03,03,2,30,02,11,2008,2,05,921,1,234,25,1,913,30,2,,,12,2010,1,0022000,4,1,090,,,3,010,,,2,,1,0004000,000570.8598,1
01,0096,004,00330,03,03,1,27,02,06,2010,1,04,832,1,213,36,1,932,36,2,,,06,2013,1,0025000,1,1,100,,,,,,,2,,2,,000553.0704,1
01,0097,004,00330,04,03,2,23,02,05,2009,2,04,921,1,223,19,1,512,08,2,,,12,2010,2,,,,,,,,,,,1,0050000,1,0006500,000485.4485,1
